时间,设备名称,片上时间(),加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),气压(Pa),高度(m),经度(),纬度(),GPS地速(km),运动航向角(°),GPS高度(m),卫星数量(),位置定位精度(),水平定位精度(),垂直定位精度(),四元数0(),四元数1(),四元数2(),四元数3()
 20:04:48.526,COM5, 2024-08-16 20:04:50.004, 0.000, 0.000, 0.999, 0.000, 0.000, 0.000, -8.124, 5.169, 0.000,,,, 28.01,,, 108.652416, 34.260496, 0.000, 150.800, 389.000,,,,,,,,,
 20:04:48.636,COM5, 2024-08-16 20:04:50.125, 0.000, 0.000, 0.999, 0.000, 0.000, 0.000, -8.119, 5.164, 0.000,,,, 27.99,,, 108.652416, 34.260496, 0.000, 150.800, 389.000,,,,,,,,,
 20:04:48.723,COM5, 2024-08-16 20:04:50.225, 0.000, 0.000, 0.998, 0.000, 0.000, 0.000, -8.124, 5.164, 0.000,,,, 28.01,,, 108.652416, 34.260496, 0.000, 150.800, 389.000,,,,,,,,,
 20:04:48.823,COM5, 2024-08-16 20:04:50.310, 0.000, 0.000, 0.999, 0.000, 0.000, 0.000, -8.119, 5.164, 0.000,,,, 27.99,,, 108.652416, 34.260496, 0.000, 150.800, 389.000,,,,,,,,,
 20:04:48.932,COM5, 2024-08-16 20:04:50.410, 0.000, 0.000, 0.999, 0.000, 0.000, 0.000, -8.119, 5.169, 0.000,,,, 28.02,,, 108.652416, 34.260496, 0.000, 150.800, 389.000,,,,,,,,,
 20:04:49.024,COM5, 2024-08-16 20:04:50.530, 0.000, 0.000, 0.999, 0.000, 0.000, 0.000, -8.124, 5.164, 0.000,,,, 27.99,,, 108.652416, 34.260496, 0.000, 150.800, 389.000,,,,,,,,,
 20:04:49.133,COM5, 2024-08-16 20:04:50.630, 0.000, 0.001, 0.999, 0.000, 0.000, 0.000, -8.119, 5.169, 0.000,,,, 28.02,,, 108.652416, 34.260496, 0.000, 150.800, 389.000,,,,,,,,,
 20:04:49.226,COM5, 2024-08-16 20:04:50.709, 0.000, 0.000, 0.999, 0.000, 0.000, 0.000, -8.113, 5.164, 0.000,,,, 27.99,,, 108.652416, 34.260496, 0.000, 150.800, 389.000,,,,,,,,,
 20:04:49.321,COM5, 2024-08-16 20:04:50.809, 0.000, 0.000, 0.998, 0.000, 0.000, 0.000, -8.119, 5.164, 0.000,,,, 27.98,,, 108.652416, 34.260496, 0.000, 150.800, 389.000,,,,,,,,,
 20:04:49.430,COM5, 2024-08-16 20:04:50.929, 0.001, 0.000, 1.000, 0.000, 0.000, 0.000, -8.124, 5.169, 0.000,,,, 27.99,,, 108.652416, 34.260496, 0.000, 150.800, 389.000,,,,,,,,,
