时间,设备名称,片上时间(),加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),气压(Pa),高度(m),经度(),纬度(),GPS地速(km),运动航向角(°),GPS高度(m),卫星数量(),位置定位精度(),水平定位精度(),垂直定位精度(),四元数0(),四元数1(),四元数2(),四元数3()
 14:46:23.321,COM3, 2076-28-187 08:14:42.819, 0.000, -0.002, 1.013, 0.000, 0.000, -0.671, 0.093, 0.220, -160.889,,,, 29.02,,, 0.000000, 0.000000, 0.000, 0.000, 0.000, 0, 0.00, 31.20, 0.00, 0.89426, 0.00159, 0.00134, -0.44745,
 14:46:23.519,COM3, 2076-28-187 08:14:43.010, 0.000, 0.000, 1.013, 0.000, 0.000, 0.000, 0.110, 0.225, -160.922,,,, 29.02,,, 0.000000, 0.000000, 0.000, 0.000, 0.000, 0, 0.00, 31.20, 0.00, 0.89410, 0.00174, 0.00134, -0.44775,
 14:46:23.718,COM3, 2076-28-187 08:14:43.269, 0.000, 0.000, 1.013, 0.000, 0.000, -0.061, 0.104, 0.225, -160.933,,,, 29.02,,, 0.000000, 0.000000, 0.000, 0.000, 0.000, 0, 0.00, 31.20, 0.00, 0.89404, 0.00174, 0.00131, -0.44785,
 14:46:23.916,COM3, 2076-28-187 08:14:43.464, 0.000, 0.000, 1.011, 0.000, 0.000, 0.000, 0.110, 0.220, -160.933,,,, 29.05,,, 0.000000, 0.000000, 0.000, 0.000, 0.000, 0, 0.00, 31.20, 0.00, 0.89404, 0.00174, 0.00131, -0.44785,
 14:46:24.117,COM3, 2076-28-187 08:14:43.675, -0.002, 0.000, 1.013, 0.000, 0.000, 0.000, 0.110, 0.225, -160.933,,,, 29.05,,, 0.000000, 0.000000, 0.000, 0.000, 0.000, 0, 0.00, 31.20, 0.00, 0.89407, 0.00174, 0.00131, -0.44781,
 14:46:24.315,COM3, 2076-28-187 08:14:43.864, 0.024, 0.000, 1.012, 0.000, 0.244, 0.000, 0.121, 0.253, -160.933,,,, 29.02,,, 0.000000, 0.000000, 0.000, 0.000, 0.000, 0, 0.00, 31.20, 0.00, 0.89407, 0.00192, 0.00146, -0.44781,
 14:46:24.514,COM3, 2076-28-187 08:14:44.050, -0.006, -0.003, 1.012, -0.061, -0.122, -8.362, 0.077, 0.236, -161.197,,,, 29.05,,, 0.000000, 0.000000, 0.000, 0.000, 0.000, 0, 0.00, 31.20, 0.00, 0.89322, 0.00156, 0.00153, -0.44952,
 14:46:24.715,COM3, 2076-28-187 08:14:44.259, 0.108, -0.053, 1.015, -0.061, 0.549, -3.357, 0.027, 0.209, -162.147,,,, 29.02,,, 0.000000, 0.000000, 0.000, 0.000, 0.000, 0, 0.00, 31.20, 0.00, 0.88934, 0.00107, 0.00153, -0.45712,
 14:46:24.911,COM3, 2076-28-187 08:14:44.449, -0.035, -0.022, 1.015, -0.671, 0.366, -26.428, -0.038, 0.148, -163.109,,,, 29.02,,, 0.000000, 0.000000, 0.000, 0.000, 0.000, 0, 0.00, 31.20, 0.00, 0.88596, 0.00027, 0.00134, -0.46365,
 14:46:25.112,COM3, 2076-28-187 08:14:44.660, 0.027, 0.109, 1.019, 5.798, -0.244, -93.140, 0.071, 0.143, -178.456,,,, 29.00,,, 0.000000, 0.000000, 0.000, 0.000, 0.000, 0, 0.00, 31.20, 0.00, 0.81778, 0.00122, 0.00064, -0.57547,
 14:46:25.311,COM3, 2076-28-187 08:14:44.849, 0.087, -0.119, 1.014, 0.183, -0.244, -53.345, 0.011, 0.143, 167.305,,,, 29.02,,, 0.000000, 0.000000, 0.000, 0.000, 0.000, 0, 0.00, 31.20, 0.00, 0.73901, 0.00092, 0.00085, -0.67361,
 14:46:25.511,COM3, 2076-28-187 08:14:45.059, -0.021, 0.152, 1.026, -2.197, 2.380, 15.503, 1.857, -0.154, 172.606,,,, 29.00,,, 0.000000, 0.000000, 0.000, 0.000, 0.000, 0, 0.00, 31.20, 0.00, 0.76736, 0.01157, -0.01144, -0.64093,
 14:46:25.708,COM3, 2076-28-187 08:14:45.255, -0.171, -0.046, 1.022, -7.507, 1.587, 72.876, 0.132, 0.203, 177.539,,,, 29.02,,, 0.000000, 0.000000, 0.000, 0.000, 0.000, 0, 0.00, 31.20, 0.00, 0.79285, 0.00201, 0.00070, -0.60934,
