Gyro_X,Gyro_Y,Gyro_Z,Accel_X,Accel_Y,Accel_Z,Timestamp
0,0.0092,0,-0.0159,-0.0073,0.9998,0
0.0092,0,0,-0.0168,-0.0067,0.9992,0.0999999999767169
0,-0.0092,0,-0.0159,-0.0058,0.9995,0.200000000011642
-0.0092,0,0,-0.0162,-0.0079,0.9989,0.299999999988358
0,0,0,-0.0165,-0.0061,0.9995,0.399999999965075
0,0,0,-0.0165,-0.0067,0.9992,0.5
-0.0092,0,0,-0.0159,-0.0067,0.9992,0.599999999976717
0,0.0092,-0.0092,-0.0168,-0.0067,0.9998,0.700000000011642
-0.0183,-0.0183,0.0092,-0.0165,-0.0064,0.9986,0.799999999988358
-0.0092,0,0,-0.0146,-0.007,0.9995,0.899999999965075
0,0.0366,0,-0.0174,-0.0079,0.9989,1
0.0092,-0.0549,0,-0.018,-0.0061,1.0001,1.09999999997672
0,-0.0092,0.0092,-0.0137,-0.0043,0.9983,1.20000000001164
-0.0824,-0.0641,0.0275,-0.0177,-0.0076,1.0007,1.29999999998836
0.1465,-0.119,-0.0275,-0.0159,-0.0134,0.9973,1.39999999996508
0.0275,0.0183,0,-0.0143,-0.0027,0.9998,1.5
0.0183,0.0732,-0.0366,-0.0159,-0.007,1.0001,1.59999999997672
0.0092,-0.0824,0.0366,-0.0204,-0.0049,0.998,1.70000000001164
0.0824,-0.0092,-0.0458,-0.0156,-0.0107,0.9992,1.79999999998836
0,-0.0458,-0.0641,-0.011,-0.0089,0.9977,1.89999999996508
0.0366,0.2014,0,-0.0162,-0.0092,0.9973,2
0.0641,-0.0183,-0.0275,-0.0174,0.0012,1.0056,2.09999999997672
-0.0732,0.0732,0,-0.0159,0.0006,0.9931,2.20000000001164
-0.0183,0.0916,-0.0549,-0.0168,0,1.0053,2.29999999998836
-0.0092,0.0275,0.0092,-0.018,-0.0031,0.9992,2.39999999996508
-0.0366,-0.1007,0.0092,-0.0201,-0.0052,0.9983,2.5
0.5585,-0.0092,0.0092,-0.0131,0.0153,1.0001,2.59999999997672
0.5402,-0.0732,0,-0.0195,0.0876,1.0089,2.70000000001164
0.3662,0.0092,0.1373,-0.0159,0.0949,0.9967,2.79999999998836
0.65,-0.2014,0.2106,-0.0189,0.1093,0.9983,2.89999999996508
0.4852,-0.2197,0.2289,-0.0232,0.1248,0.9894,3
0.412,-0.2655,0.4852,-0.0116,0.1343,0.9964,3.09999999997672
0.5127,-0.4852,0.7691,-0.0122,0.1511,0.9952,3.20000000001164
0.174,0.174,0.8515,-0.0101,0.152,1.0019,3.29999999998836
-0.2838,0.2747,0.9247,-0.0174,0.144,0.9903,3.39999999996508
0.3754,0.0366,1.117,-0.0357,0.1468,0.9952,3.5
0.1282,0.0549,1.8494,-0.0189,0.1465,0.9873,3.59999999997672
-0.174,0.293,1.9318,-0.0299,0.137,0.9998,3.70000000001164
0.8789,0.293,2.3164,-0.0201,0.1407,0.9748,3.79999999998836
0.0641,-0.1282,3.0946,-0.0357,0.1389,1.005,3.89999999996508
1.1902,0.119,3.6439,-0.0259,0.1331,0.9796,4
-0.238,1.3459,4.6968,-0.0369,0.1389,0.9998,4.09999999997672
