Yaw,Pitch,Raw,Timestamp
147.13,-0.31,0.98,0
147.13,-0.31,0.98,0.0999999999767169
147.13,-0.31,0.97,0.200000000011642
147.13,-0.31,0.97,0.299999999988358
147.13,-0.31,0.96,0.399999999965075
147.13,-0.31,0.96,0.5
147.13,-0.31,0.96,0.599999999976717
147.13,-0.31,0.97,0.700000000011642
147.13,-0.31,0.97,0.799999999988358
147.13,-0.31,0.97,0.899999999965075
147.13,-0.31,0.98,1
147.13,-0.31,0.97,1.09999999997672
147.13,-0.32,0.96,1.20000000001164
147.12,-0.33,0.96,1.29999999998836
147.13,-0.32,0.95,1.39999999996508
147.13,-0.32,0.95,1.5
147.13,-0.32,0.95,1.59999999997672
147.13,-0.31,0.94,1.70000000001164
147.13,-0.31,0.94,1.79999999998836
147.14,-0.31,0.93,1.89999999996508
147.14,-0.29,0.96,2
147.15,-0.29,0.96,2.09999999997672
147.15,-0.31,0.96,2.20000000001164
147.15,-0.31,0.97,2.29999999998836
147.15,-0.3,0.99,2.39999999996508
147.15,-0.3,0.98,2.5
147.15,-0.27,0.96,2.59999999997672
147.15,-0.2,0.96,2.70000000001164
147.14,-0.16,0.96,2.79999999998836
147.12,-0.1,0.94,2.89999999996508
147.1,-0.07,0.91,3
147.05,-0.03,0.89,3.09999999997672
146.97,0.06,0.86,3.20000000001164
146.89,0.08,0.88,3.29999999998836
146.8,0.03,0.94,3.39999999996508
146.69,0.05,0.96,3.5
146.51,0.07,0.97,3.59999999997672
146.31,0.05,1.01,3.70000000001164
146.09,0.12,1.05,3.79999999998836
145.78,0.16,1.05,3.89999999996508
145.43,0.31,1.1,4
144.96,0.32,1.21,4.09999999997672
144.45,0.23,1.2,4.20000000001164
143.88,0.17,1.16,4.29999999998836
143.24,0.25,1.17,4.39999999996508
142.59,0.19,1.31,4.5
141.94,0.34,1.46,4.59999999997672
141.22,0.37,1.38,4.70000000001164
140.48,0.3,1.31,4.79999999998836
139.76,0.13,1.32,4.89999999996508
139.01,0.13,1.45,5
138.39,0.04,1.51,5.09999999997672
137.78,0,1.37,5.20000000001164
