Velocity_E,Velocity_N,Velocity_U,Timestamp
-0.017,0.006,-0.018,0
-0.018,0.007,-0.018,0.0999999999767169
-0.017,0.003,-0.019,0.200000000011642
-0.019,0.005,-0.019,0.299999999988358
-0.018,0.007,-0.023,0.399999999965075
-0.019,0.008,-0.023,0.5
-0.017,0.007,-0.023,0.599999999976717
-0.018,0.008,-0.023,0.700000000011642
-0.019,0.006,-0.024,0.799999999988358
-0.022,0.007,-0.024,0.899999999965075
-0.025,0.009,-0.028,1
-0.024,0.01,-0.027,1.09999999997672
-0.021,0.004,-0.01,1.20000000001164
-0.021,0.004,-0.008,1.29999999998836
-0.02,0.006,0.006,1.39999999996508
-0.02,0.002,0.005,1.5
-0.012,0.003,0.014,1.59999999997672
-0.009,0.004,0.014,1.70000000001164
-0.008,0.006,0.013,1.79999999998836
-0.014,0.006,0.014,1.89999999996508
-0.02,0.011,-0.003,2
-0.016,0.008,0.003,2.09999999997672
-0.009,-0.001,-0.002,2.20000000001164
-0.005,-0.005,0.002,2.29999999998836
-0.006,-0.007,-0.009,2.39999999996508
-0.004,-0.006,-0.007,2.5
0.002,-0.022,0,2.59999999997672
0.053,-0.099,0.006,2.70000000001164
0.099,-0.169,0.003,2.79999999998836
0.158,-0.257,0.005,2.89999999996508
0.234,-0.362,0.014,3
0.302,-0.471,0.015,3.09999999997672
0.364,-0.588,-0.009,3.20000000001164
0.442,-0.716,-0.012,3.29999999998836
0.506,-0.844,-0.021,3.39999999996508
0.593,-0.956,-0.015,3.5
0.651,-1.079,-0.037,3.59999999997672
0.733,-1.184,-0.032,3.70000000001164
0.786,-1.308,-0.095,3.79999999998836
0.874,-1.412,-0.077,3.89999999996508
0.897,-1.51,-0.15,4
0.986,-1.617,-0.15,4.09999999997672
1.091,-1.695,-0.103,4.20000000001164
1.185,-1.767,-0.078,4.29999999998836
1.258,-1.84,-0.102,4.39999999996508
1.318,-1.88,-0.099,4.5
1.32,-1.907,-0.171,4.59999999997672
1.395,-1.949,-0.16,4.70000000001164
1.437,-1.992,-0.218,4.79999999998836
1.522,-2.044,-0.231,4.89999999996508
1.563,-2.105,-0.276,5
1.638,-2.144,-0.248,5.09999999997672
1.711,-2.205,-0.272,5.20000000001164
1.773,-2.262,-0.281,5.29999999998836
1.846,-2.297,-0.274,5.39999999996508
1.922,-2.332,-0.315,5.5
1.97,-2.361,-0.331,5.59999999997672
2.004,-2.382,-0.313,5.70000000001164
2.084,-2.384,-0.264,5.79999999998836
2.064,-2.407,-0.333,5.89999999996508
2.089,-2.414,-0.263,6
2.108,-2.38,-0.192,6.09999999997672
2.13,-2.413,-0.125,6.20000000001164
2.117,-2.459,-0.167,6.29999999998836
2.151,-2.535,-0.206,6.39999999996508
2.159,-2.567,-0.184,6.5
2.175,-2.622,-0.19,6.59999999997672
2.171,-2.662,-0.192,6.70000000001164
2.206,-2.735,-0.146,6.79999999998836
2.216,-2.782,-0.14,6.89999999996508
2.219,-2.839,-0.13,7
2.216,-2.889,-0.147,7.09999999997672
2.238,-2.941,-0.138,7.20000000001164
2.256,-2.997,-0.126,7.29999999998836
2.307,-3.053,-0.11,7.39999999996508
2.347,-3.114,-0.119,7.5
2.398,-3.172,-0.087,7.59999999997672
2.435,-3.225,-0.074,7.70000000001164
2.485,-3.289,-0.088,7.79999999998836
2.52,-3.353,-0.124,7.89999999996508
2.564,-3.413,-0.051,8
2.582,-3.464,-0.051,8.09999999997672
2.632,-3.516,-0.037,8.20000000001164
2.618,-3.54,-0.063,8.29999999998836
2.583,-3.542,-0.067,8.39999999996508
2.57,-3.543,-0.029,8.5
2.558,-3.551,-0.003,8.59999999997672
2.554,-3.563,-0.022,8.70000000001164
2.562,-3.606,-0.01,8.79999999998836
2.56,-3.635,-0.019,8.89999999996508
2.566,-3.657,-0.039,9
2.565,-3.66,-0.022,9.09999999997672
2.583,-3.686,-0.018,9.20000000001164
2.577,-3.718,-0.014,9.29999999998836
2.581,-3.758,-0.021,9.39999999996508
2.59,-3.784,0.01,9.5
2.579,-3.81,0.023,9.59999999997672
2.573,-3.825,0.024,9.70000000001164
2.558,-3.846,0.028,9.79999999998836
2.548,-3.852,0.041,9.89999999996508
2.563,-3.849,0.031,10
2.557,-3.871,0.03,10.0999999999767
2.548,-3.889,0.035,10.2000000000116
2.55,-3.905,0.054,10.2999999999884
2.522,-3.92,0.017,10.3999999999651
2.516,-3.938,0.032,10.5
2.54,-3.936,0.04,10.5999999999767
2.557,-3.944,0.035,10.7000000000116
2.575,-3.967,0.048,10.7999999999884
2.595,-3.964,0.062,10.8999999999651
